iter	Passed	Remaining
0	182	182263
1	324	161776
2	473	157378
3	614	152994
4	768	153006
5	913	151322
6	1074	152401
7	1216	150812
8	1400	154247
9	1565	154990
10	1719	154566
11	1868	153878
12	2019	153310
13	2186	154014
14	2335	153372
15	2490	153186
16	2649	153226
17	2792	152368
18	2943	151987
19	3086	151255
20	3258	151897
21	3409	151577
22	3573	151776
23	3732	151775
24	3892	151806
25	4108	153900
26	4264	153671
27	4427	153689
28	4588	153620
29	4744	153404
30	4895	153020
31	5059	153057
32	5215	152816
33	5365	152440
34	5564	153408
35	5722	153247
36	5886	153216
37	6045	153049
38	6202	152828
39	6360	152654
40	6509	152257
41	6665	152041
42	6810	151566
43	6954	151106
44	7105	150803
45	7260	150575
46	7479	151649
47	7688	152491
48	7877	152884
49	8086	153651
50	8248	153485
51	8412	153368
52	8578	153280
53	8732	152976
54	8890	152753
55	9059	152711
56	9220	152537
57	9396	152612
58	9581	152816
59	9758	152878
60	9914	152615
61	10068	152328
62	10226	152095
63	10390	151967
64	10565	151977
65	10726	151801
66	10893	151692
67	11046	151398
68	11211	151275
69	11363	150977
70	11518	150715
71	11674	150468
72	11822	150126
73	11974	149842
74	12126	149557
75	12275	149244
76	12421	148890
77	12570	148589
78	12720	148300
79	12873	148046
80	13023	147764
81	13169	147432
82	13316	147126
83	13461	146789
84	13606	146467
85	13750	146140
86	13898	145855
87	14041	145516
88	14185	145200
89	14329	144888
90	14472	144570
91	14621	144303
92	14770	144051
93	14916	143772
94	15062	143494
95	15204	143173
96	15346	142867
97	15491	142585
98	15637	142317
99	15781	142032
100	15922	141725
101	16067	141458
102	16211	141177
103	16356	140915
104	16503	140670
105	16647	140401
106	16789	140119
107	16931	139842
108	17074	139576
109	17217	139302
110	17361	139045
111	17506	138799
112	17650	138546
113	17793	138289
114	17940	138061
115	18090	137862
116	18235	137620
117	18380	137388
118	18523	137139
119	18670	136918
120	18814	136680
121	18959	136446
122	19102	136202
123	19242	135937
124	19386	135707
125	19529	135463
126	19675	135248
127	19819	135019
128	19963	134789
129	20105	134549
130	20246	134309
131	20393	134101
132	20540	133898
133	20682	133667
134	20829	133462
135	20973	133243
136	21118	133030
137	21264	132824
138	21407	132606
139	21550	132383
140	21693	132160
141	21836	131940
142	21983	131744
143	22126	131528
144	22268	131309
145	22414	131107
146	22556	130891
147	22699	130677
148	22842	130464
149	22993	130296
150	23139	130102
151	23290	129934
152	23440	129767
153	23590	129592
154	23741	129427
155	23886	129233
156	24028	129017
157	24170	128809
158	24312	128597
159	24457	128403
160	24600	128199
161	24745	128004
162	24888	127801
163	25030	127595
164	25174	127398
165	25316	127192
166	25460	126995
167	25611	126836
168	25789	126808
169	25945	126677
170	26105	126560
171	26267	126448
172	26418	126287
173	26558	126076
174	26706	125904
175	26851	125715
176	26992	125507
177	27135	125309
178	27275	125102
179	27417	124900
180	27558	124698
181	27702	124507
182	27850	124337
183	27992	124140
184	28134	123942
185	28278	123758
186	28434	123622
187	28585	123465
188	28739	123319
189	28893	123177
190	29043	123015
191	29204	122902
192	29359	122762
193	29514	122621
194	29687	122557
195	29860	122489
196	30032	122418
197	30186	122271
198	30350	122165
199	30516	122067
200	30695	122017
201	30857	121903
202	31014	121767
203	31158	121579
204	31311	121426
205	31475	121317
206	31622	121144
207	31774	120988
208	31928	120840
209	32072	120654
210	32215	120464
211	32360	120282
212	32504	120100
213	32648	119913
214	32788	119714
215	32935	119541
216	33089	119397
217	33246	119259
218	33394	119092
219	33550	118950
220	33708	118818
221	33851	118632
222	33998	118460
223	34167	118365
224	34311	118185
225	34456	118006
226	34603	117834
227	34747	117652
228	34890	117470
229	35045	117324
230	35193	117159
231	35338	116981
232	35491	116832
233	35645	116685
234	35797	116533
235	35943	116359
236	36088	116182
237	36229	115996
238	36375	115823
239	36520	115647
240	36665	115473
241	36809	115296
242	36952	115115
243	37101	114953
244	37245	114776
245	37392	114609
246	37539	114441
247	37681	114259
248	37823	114076
249	37965	113895
250	38111	113727
251	38255	113552
252	38397	113372
253	38539	113190
254	38686	113025
255	38834	112863
256	38981	112698
257	39126	112525
258	39267	112345
259	39409	112164
260	39553	111991
261	39702	111833
262	39843	111653
263	39986	111477
264	40127	111297
265	40270	111122
266	40419	110963
267	40570	110812
268	40734	110694
269	40878	110524
270	41031	110376
271	41186	110233
272	41339	110086
273	41488	109930
274	41634	109762
275	41804	109660
276	41983	109582
277	42131	109421
278	42283	109269
279	42430	109106
280	42575	108937
281	42723	108779
282	42868	108609
283	43009	108431
284	43151	108257
285	43299	108096
286	43446	107935
287	43599	107786
288	43762	107665
289	43940	107579
290	44095	107435
291	44236	107257
292	44378	107083
293	44526	106924
294	44672	106760
295	44823	106606
296	44974	106454
297	45118	106286
298	45286	106172
299	45439	106024
300	45587	105866
301	45748	105737
302	45923	105638
303	46070	105476
304	46218	105317
305	46376	105181
306	46536	105047
307	46692	104905
308	46851	104770
309	47006	104626
310	47153	104465
311	47297	104296
312	47440	104125
313	47584	103958
314	47736	103807
315	47881	103642
316	48027	103479
317	48178	103326
318	48321	103156
319	48474	103009
320	48655	102919
321	48810	102775
322	48957	102614
323	49107	102459
324	49260	102310
325	49418	102172
326	49576	102034
327	49733	101893
328	49880	101732
329	50035	101586
330	50187	101437
331	50335	101277
332	50478	101108
333	50623	100943
334	50766	100774
335	50912	100612
336	51057	100448
337	51205	100289
338	51352	100129
339	51495	99961
340	51641	99800
341	51796	99654
342	51949	99506
343	52092	99339
344	52238	99177
345	52392	99030
346	52553	98897
347	52710	98755
348	52866	98613
349	53019	98465
350	53204	98375
351	53357	98225
352	53504	98066
353	53657	97917
354	53806	97761
355	53952	97599
356	54099	97439
357	54245	97279
358	54397	97128
359	54544	96968
360	54695	96815
361	54839	96651
362	54985	96489
363	55136	96338
364	55298	96203
365	55445	96044
366	55608	95913
367	55764	95769
368	55921	95626
369	56068	95467
370	56216	95310
371	56365	95154
372	56514	94998
373	56685	94880
374	56830	94717
375	56976	94556
376	57125	94400
377	57269	94237
378	57411	94069
379	57553	93903
380	57700	93744
381	57843	93579
382	57987	93415
383	58134	93257
384	58285	93105
385	58443	92964
386	58597	92817
387	58748	92665
388	58907	92525
389	59055	92368
390	59200	92206
391	59344	92044
392	59492	91887
393	59645	91739
394	59791	91579
395	59936	91418
396	60077	91251
397	60222	91089
398	60366	90927
399	60506	90759
400	60648	90594
401	60792	90432
402	60949	90290
403	61091	90124
404	61235	89963
405	61378	89799
406	61521	89636
407	61668	89479
408	61811	89317
409	61957	89158
410	62100	88995
411	62243	88832
412	62389	88674
413	62535	88516
414	62678	88354
415	62821	88191
416	62963	88027
417	63110	87871
418	63256	87713
419	63404	87558
420	63560	87414
421	63702	87251
422	63844	87088
423	63989	86929
424	64135	86771
425	64279	86611
426	64420	86446
427	64562	86284
428	64712	86132
429	64859	85976
430	65005	85818
431	65147	85657
432	65290	85495
433	65429	85330
434	65569	85164
435	65712	85004
436	65853	84841
437	65997	84681
438	66143	84525
439	66286	84364
440	66430	84205
441	66575	84047
442	66721	83890
443	66864	83730
444	67007	83571
445	67157	83419
446	67304	83264
447	67451	83110
448	67594	82950
449	67766	82826
450	67908	82664
451	68051	82504
452	68195	82345
453	68334	82182
454	68474	82019
455	68616	81858
456	68757	81696
457	68902	81539
458	69045	81380
459	69191	81225
460	69334	81065
461	69477	80906
462	69621	80748
463	69762	80588
464	69912	80436
465	70064	80288
466	70208	80130
467	70351	79971
468	70496	79816
469	70641	79659
470	70783	79500
471	70926	79340
472	71069	79182
473	71211	79023
474	71353	78864
475	71497	78707
476	71641	78550
477	71784	78392
478	71927	78234
479	72068	78074
480	72212	77916
481	72352	77756
482	72496	77599
483	72644	77447
484	72785	77287
485	72929	77131
486	73075	76976
487	73219	76820
488	73362	76663
489	73504	76505
490	73646	76346
491	73791	76191
492	73935	76035
493	74078	75877
494	74224	75723
495	74368	75567
496	74512	75412
497	74658	75257
498	74798	75098
499	74940	74940
500	75086	74786
501	75235	74636
502	75381	74481
503	75524	74326
504	75668	74170
505	75811	74013
506	75969	73871
507	76120	73722
508	76268	73570
509	76411	73414
510	76555	73260
511	76696	73101
512	76881	72984
513	77024	72828
514	77170	72675
515	77315	72520
516	77458	72364
517	77605	72211
518	77749	72056
519	77890	71899
520	78032	71741
521	78177	71587
522	78320	71432
523	78461	71273
524	78608	71122
525	78751	70966
526	78898	70813
527	79039	70656
528	79183	70501
529	79326	70345
530	79468	70190
531	79609	70032
532	79753	69877
533	79895	69721
534	80036	69564
535	80182	69411
536	80329	69260
537	80479	69110
538	80625	68958
539	80766	68801
540	80910	68646
541	81054	68492
542	81202	68341
543	81346	68187
544	81489	68032
545	81629	67875
546	81775	67722
547	81920	67569
548	82088	67435
549	82232	67281
550	82374	67125
551	82518	66971
552	82669	66822
553	82814	66670
554	82959	66517
555	83104	66364
556	83246	66208
557	83389	66054
558	83533	65899
559	83680	65749
560	83824	65595
561	83965	65439
562	84110	65286
563	84257	65135
564	84403	64983
565	84546	64829
566	84691	64676
567	84834	64522
